company_code,employee_name,employee_role
pg,Deborah Platt Majoras,Chief Legal Officer and Secretary
pgr,Susan Patricia Griffith,"President, Chief Executive Officer and Director"
pgr,John Peter Sauerland,Vice President and Chief Financial Officer
pgr,Michael David Sieger,President of Claims
pgr,Patrick K. Callahan,President of Personal Lines
pgr,Jonathan S. Bauer,Chief Investment Officer
pgr,Mariann Wojtkun Marshall,"Vice President, Chief Accounting Officer and Assistant Secretary"
pgr,Steven Anthony Broz,Chief Information Officer
pgr,Julia Hornack,Investor Relations Contact
pgr,Daniel Peter Mascaro,"Vice President, Chief Legal Officer and Secretary"
pgr,M. Jeffrey Charney,Chief Marketing Officer
pld,Hamid R. Moghadam,Chairman and Chief Executive Officer
pld,Thomas S. Olinger,Chief Financial Officer
pld,Gary E. Anderson,Chief Operating Officer
pld,Eugene F. Reilly,Chief Investment Officer
pld,Edward S. Nekritz,"Chief Legal Officer, General Counsel, Secretary and Head of Global Strategic Risk Mgmt. and ESG Dept."
pld,Michael S. Curless,Chief Customer Officer
pld,Lori A. Palazzolo CPA,"MD, Chief Accounting Officer and Senior Vice President"
pld,Sineesh Keshav,Chief Technical Officer
pld,Charles E. Sullivan,Chief Administrative Officer
pld,Tracy A. Ward,Senior Vice President of Investor Relations and Corporate Communications
pru,Charles Frederick Lowrey Jr.,"Chairman, Chief Executive Officer and Pres"
pru,Kenneth Yutaka Tanji,Executive Vice President and Chief Financial Officer
pru,Robert Michael Falzon CFA,Director and Vice Chairman
pru,Scott Garrett Sleyster,Executive Vice President and Head of International Businesses
pru,Andrew Francis Sullivan,Executive Vice President and Head of U. S. Businesses
pru,Timothy Lee Schmidt,Senior Vice President and Chief Investment Officer
pru,Robert Douglas Axel,"Senior Vice President, Controller and Principal Accounting Officer"
pru,Stacey Goodman,Chief Information Officer and Executive Vice President
pru,Darin C. Arita CFA,Senior Vice President and Head of Investor Relations
pru,Lee Duane Augsburger,Chief Ethics and Compliance Officer
ptc,James E. Heppelmann,"President, Chief Executive Officer, Member of National First Executive Advisory Board and Director"
ptc,Kristian P. Talvitie,Executive Vice President and Chief Financial Officer
ptc,Aaron C. Von Staats,"Executive Vice President, General Counsel and Secretary"
ptc,Michael DiTullio,Executive Vice President and President of SaaS
ptc,Kathleen Mitford,Executive Vice President and Chief Strategy Officer
ptc,Troy K. Richardson,Executive Vice President and Chief Operating Officer
ptc,Steve Dertien,Chief Technology Officer and Executive Vice President
ptc,Jamie Pappas,Executive Vice President of Global Sales
ptc,Jill Larsen,Chief People Officer and Executive Vice President
ptc,Gary Smith,Senior Vice President of WW Channel Sales and Programs
peg,Dr. Ralph Izzo Ph.D.,"Chairman, President and Chief Executive Officer"
peg,Daniel J. Cregg,Executive Vice President and Chief Financial Officer
peg,Ralph A. LaRossa,Chief Operating Officer
peg,Tamara Louise Linde,Executive Vice President and General Counsel
peg,David M. Daly,President of Public Service Electric and Gas Company
peg,Zeeshan Sheikh,Senior Vice President and Chief Information and Digital Officer
peg,Carlotta N. Chan,Vice President of Investor Relations
peg,Karen Cleeve,Vice President of Corporate Communications
peg,Sheila J. Rostiac,"Senior Vice President of Human Resources, Chief Human Resources Officer and Chief Diversity Officer"
peg,Scott M. Jennings,"Senior Vice President of Corporate Planning, Strategy and Utility Finance"
psa,Joseph D. Russell Jr.,"Chief Executive Officer, President and Trustee"
psa,H. Thomas Boyle III,Chief Financial Officer and Senior Vice President
psa,Natalia N. Johnson,Senior Vice President and Chief Administrative Officer
psa,Nathaniel A. Vitan,"Senior Vice President, Chief Legal Officer and Corporate Secretary"
psa,B. Wayne Hughes Sr.,Founder and Chairman Emeritus
psa,Steven H. Lentin,Executive Vice President of Operations
psa,James J. Shinnick,Executive Vice President of Operations
psa,Ryan C. Burke,Vice President of Investor Relations
psa,John M. Sambuco,President of Asset Management
psa,Michael K. McGowan,Senior Vice President of Acquisitions
phm,Ryan R. Marshall,"President, Chief Executive Officer and Director"
phm,Robert T. O'Shaughnessy,Executive Vice President and Chief Financial Officer
phm,John James Chadwick,Executive Vice President and Chief Operating Officer
phm,Todd N. Sheldon,"Executive Vice President, General Counsel and Corporate Secretary"
phm,Michelle H. Hairston,Senior Vice President of Human Resources
phm,Brien P. O'Meara,"Principal Accounting Office, Vice President and Controller"
phm,Joseph L. Drouin,Vice President and Chief Information Officer
phm,James P. Zeumer,Vice President of Investor Relations and Corporate Communications
phm,Manish M. Shrivastava,Vice President and Chief Marketing Officer
phm,Peter J. Keane,Area President of Florida Area
pvh,Stefan Larsson,"President, Chief Executive Officer and Director"
pvh,Michael A. Shaffer,Executive Vice President and Chief Operating and Financial Officer
pvh,Cheryl Abel-Hodges,Chief Executive Officer of Calvin Klein
pvh,Eileen Mahoney,Chief Information Officer and Executive Vice President
pvh,Dana M. Perlman,Senior Vice President of Business Development and Investor Relations and Treasurer
pvh,Mark D. Fischer,"Executive Vice President, General Counsel and Secretary"
pvh,Samantha Critchell,Vice President of Corporate Communications
pvh,Julie Fuller,Executive Vice President and Chief People Officer
pvh,Arthur R. Heffner,Group Executive Vice President of Logistics Services - Pvh Logistics
pvh,Ellen Constantinides,Chief Operating Officer of Global Supply Chain
qrvo,Robert A. Bruggeworth,"President, Chief Executive Officer and Director"
qrvo,Mark J. Murphy,Chief Financial Officer
qrvo,Paul J. Fego,Corporate Vice President of Global Operations
qrvo,James L. Klein,Corporate Vice President and President of Infrastructure and Defense Products
qrvo,Steven Eric Creviston,Corporate Vice President and President of Mobile Products
qrvo,Douglas DeLieto,Vice President of Investor Relations
qrvo,Jason K. Givens,"Corporate Vice President, General Counsel and Corporate Secretary"
qrvo,Brent Dietz,Director of Corporate Communications
qrvo,Brandi Frye,Corporate Vice President of Marketing
qrvo,Debra Howard,Chief Human Resources Officer and Corporate Vice President
pwr,Earl C. Austin Jr.,"President, Chief Executive Officer, Chief Operating Officer and Director"
pwr,Derrick A. Jensen CPA,Chief Financial Officer
pwr,Donald C. Wayne,Executive Vice President and General Counsel
pwr,Paul Craig Gregory,Chief Strategy Officer and President of Underground Utility and Infrastructure Division
pwr,J. Redgie Probst,President of Electric Power Division
pwr,Kip A. Rupp CFA,Vice President of Investor Relations
pwr,Jayshree S. Desai,Chief Corporate Development Officer
pwr,Nicholas M. Grindstaff,Vice President of Finance and Treasurer
pwr,Carolyn M. Campbell,Corporate Secretary
qcom,Steven M. Mollenkopf,Chief Executive Officer and Director
qcom,Cristiano Renno Amon,President
qcom,Akash Palkhiwala,Executive Vice President and Chief Financial Officer
qcom,Dr. James H. Thompson,Chief Technology Officer
qcom,Alexander H. Rogers,Executive Vice President and President of Qualcomm Technology Licensing
qcom,Franklin P. Antonio,Co-Founder and Chief Scientist
qcom,Erin L. Polek,"Senior Vice President, Corporate Controller and Chief Accounting Officer"
qcom,Mary A. Gendron,Senior Vice President and Chief Information Officer
qcom,Mauricio Lopez-Hodoyan,Vice President of Investor Relations
qcom,Donald J. Rosenberg,"Executive Vice President, General Counsel and Corporate Secretary"
dgx,Stephen H. Rusckowski,"Chairman, President and Chief Executive Officer"
dgx,Mark J. Guinan,Executive Vice President and Chief Financial Officer
dgx,James E. Davis,Executive Vice President of General Diagnostics
dgx,Carrie Eglinton Manner,Senior Vice President of Advanced Diagnostics
dgx,Michael J. Deppe,"Vice President, Corporate Controller and Chief Accounting Officer"
dgx,Gabrielle Wolfson,Senior Vice President and Chief Information and Digital Officer
dgx,Shawn C. Bevec,Vice President of Investor Relation
dgx,Michael E. Prevoznik,Senior Vice President and General Counsel
dgx,Timothy Sharpe,Vice President of Compliance
dgx,Gary D. Samuels,Vice President of Corporate Communications
rl,Ralph Lauren,Executive Chairman and Chief Creative Officer
rl,Patrice Jean Louis Louvet,"President, Chief Executive Officer and Director"
rl,David Lauren,"Vice Chairman, Chief Innovation Officer and Strategic Advisor to the Chief Executive Officer"
rl,Jane Hamilton Nielsen,Chief Financial Officer and Chief Operating Officer
rl,Andrew Howard Smith,Executive Vice President and Chief Commercial Officer
rl,Janet M. Sherlock,Chief Information Officer
rl,Corinna Van der Ghinst,Vice President of Investor Relations
rl,Avery S. Fischer,"Executive Vice President, General Counsel and Secretary"
rl,Jonathan Bottomley,Chief Marketing Officer
rl,Roseann Lynch,Executive Vice President and Chief People and Global Human Rights Officer
rjf,Paul Christopher Reilly,Chairman and Chief Executive Officer
rjf,John Congleton Carson Jr.,President
rjf,Paul M. Shoukry,"Chief Financial Officer, Senior Vice President of Finance and Investor Relations and Treasurer"
rjf,James E. Bunn,President of Global Equities and Investment Banking
rjf,Bella Loykhter Allaire,Executive Vice President of Technology and Operations
rjf,Thomas Robert Tremaine,Executive Vice President and Chief Operating Officer
rjf,Jeffrey Alexander Dowdle,Chief Operating Officer and Head of Asset Management Group
rjf,Larry Adam,Chief Investment Officer
rjf,Vin Campagnoli,Chief Information Officer
rjf,Jonathan N. Santelli J.D.,"Executive Vice President, General Counsel and Corporate Secretary"
rtx,Gregory J. Hayes,"President, Chief Executive Officer and Director"
rtx,Neil G. Mitchill Jr.,Chief Financial Officer
rtx,Michael R. Dumais,Executive Vice President and Chief Transformation Officer
rtx,Stephen J. Timm,President of Collins Aerospace
rtx,Dr. Thomas A. Kennedy,Executive Chairman
rtx,Paolo C. Dal Cin,Head of Operations and Supply Chain
rtx,Robin L. Diamonte,Chief Investment Officer and Vice President of Pension Investments
rtx,Mark E. Russell,Head of Technology
rtx,Christopher McDavid,Corporate Vice President of Global Ethics and Compliances
rtx,Frank R. Jimenez,Executive Vice President and General Counsel
o,Sumit Roy,"President, Chief Executive Officer and Director"
o,Christie B. Kelly,"Executive Vice President, Chief Financial Officer and Treasurer"
o,Mark E. Hagan,Executive Vice President and Chief Investment Officer
o,Michael R. Pfeiffer,Chief Administrative Officer and Executive Vice President
o,Neil M. Abraham,Executive Vice President and Chief Strategy Officer
o,Teresa M. Glenn,Associate Vice President of Human Resources and Operations
o,Michelle Bushore,"Executive Vice President, Chief Legal Officer, General Counsel and Secretary"
o,Shannon Kehle,Senior Vice President of Human Resources
o,Ross Edwards,Senior Vice President of Leasing and Real Estate Operations
o,Scott Kohnen,Senior Vice President of Research
reg,Martin E. Stein Jr.,Non Independent Executive Chairman
reg,Lisa Palmer,"President, Chief Executive Officer and Non Independent Director"
reg,Michael J. Mas,Executive Vice President and Chief Financial Officer
reg,James D. Thompson,Executive Vice President and Chief Operating Officer
reg,Chris Widmayer,Senior Vice President of Investments
reg,Greg Kalnit,Vice President of Investments
reg,Dale S. Johnston,Chief Information Officer and Senior Vice President
reg,Michael R. Herman,"Senior Vice President, General Counsel and Secretary"
reg,Jan X. Hanak,Vice President of Marketing and Communications
reg,Amy L. D'Olimpio,Senior Vice President of Human Resources
regn,Dr. Leonard S. Schleifer,"Co-Founder, President, Chief Executive Officer and Executive Director"
regn,Dr. George D. Yancopoulos,"Co-Founder, President and Chief Scientific Officer and Director"
regn,Robert E. Landry Jr.,Executive Vice President of Finance and Chief Financial Officer
regn,Dr. Andrew J. Murphy,Executive Vice President of Research
regn,Daniel P. Van Plew,Executive Vice President and GM of Industrial Operations and Product Supply
regn,Patrice Gilooly,Senior Vice President of Quality Assurance and Operations
regn,Christopher R. Fenimore,"Senior Vice President, Head of Accounting and Controller"
regn,Gerald Underwood,Senior Vice President of Technical Operations
regn,Bob McCowan,Senior Vice President of IT and Chief Information Officer
regn,Justin Holko,Vice President of Investor Relations
rf,John M. Turner Jr.,"President, Chief Executive Officer and Director"
rf,David Jackson Turner Jr.,Senior Executive Vice President and Chief Financial Officer
rf,Ronald G. Smith,Senior Executive Vice President and Head of Corporate Banking Group
rf,C. Matthew Lusco CPA,Senior Executive Vice President and Chief Risk Officer
rf,Amala Duggirala,Senior Executive Vice President and Chief Operations and Technology Officer
rf,Hardie B. Kimbrough Jr.,"Executive Vice President, Controller and Principal Accounting Officer"
rf,David R. Keenan,"Senior EVice President, Chief Administrative and Human Resources Officer"
rf,Tobin N. Vinson,Associate Director of Investor Relations
rf,Dana Nolan,Executive Vice President and Head of Investor Relations
rf,Tara Ann Plimpton,"Senior Executive Vice President, Chief Legal Officer and Corporate Secretary"
rsg,Donald W. Slager,Chief Executive Officer and Director
rsg,Jon Vander Ark,President
rsg,Brian M. DelGhiaccio,"Chief Financial Officer, Executive Vice President and Chief Transformation Officer"
rsg,Timothy E. Stuart,Executive Vice President and Chief Operating Officer
rsg,Catharine D. Ellingsen,"Executive Vice President, Chief Legal Officer, Chief Ethics and Compliance Officer and Corporate Secretary"
rsg,Charles F. Serianni,Special Advisor to Chief Executive Officer
rsg,Brian A. Goebel,Vice President and Chief Accounting Officer
rsg,Jeffrey A. Hughes,Executive Vice President and Chief Administrative Officer
rsg,"Nicole Giandinoto CFA, CTP",Senior Vice President of Investor Relations and Treasurer
rsg,Amanda Hodges,Executive Vice President and Chief Marketing Officer
rmd,"Dr. Peter C. Farrell A.M., B.E., Ph.D., BE (Hons), ScD, AM",Founder and Non-Executive Chairman
rmd,"Michael J. Farrell BE, SM, MBA",Chief Executive Officer and Director
rmd,Robert A. Douglas,President and Chief Operating Officer
rmd,Brett A. Sandercock,Chief Financial Officer
rmd,Dr. James R. Hollingshead Ph.D.,President of Sleep and Respiratory Care Business
rmd,Rajwant Singh Sodhi,President of Software as a Service Business (SaaS)
rmd,Kaushik Ghoshal,Chief Technology Officer
rmd,David B. Pendarvis,"Chief Administrative Officer, Global General Counsel and Corporate Secretary"
rmd,Constance C. Bienfait,Director of Investor Relations
rmd,Amy Wakeham,Vice President of Investor Relations and Corporate Communications
rhi,Harold Max Messmer Jr.,Executive Chairman
rhi,M. Keith Waddell,"Vice Chairman, President and Chief Executive Officer"
rhi,Michael C. Buckley,Executive Vice President and Chief Financial Officer
rhi,Robert W. Glass,Executive Vice President of Corporate Development
rhi,Paul F. Gentzkow,President and Chief Executive Officer of Staffing Services
rhi,James C. Johnson,Senior Vice President and Chief Technology Officer
rhi,Steven A. Kass,Senior Vice President and Chief Administrative Officer
rhi,Evelyn Crane-Oliver,"Senior Vice President, Secretary and General Counsel"
rhi,Erica F. Bigley,Senior Vice President of Corporate Communications
rhi,Lynne C. Smith,Senior Vice President of Human Resources and Compensation
rok,Blake D. Moret,"Chairman, President and Chief Executive Officer"
rok,Rebecca W. House,"Senior Vice President, Chief People and Legal Officer and Secretary"
rok,Frank C. Kulaszewicz,Senior Vice President of Lifecycle Services
rok,Francis S. Wlodarczyk,Senior Vice President
rok,Nicholas C. Gangestad,Senior Vice President and Chief Financial Officer
rok,Dr. Sujeet Chand Ph.D.,Chief Technology Officer and Senior Vice President
rok,Christopher Nardecchia,Senior Vice President of Information Technology and Chief Information Officer
rok,Jessica Kourakos,Head of Investor Relations
rok,Patricia Contreras,Vice President of Global Public Affairs
rok,Marci Pelzer,Director of External Communications
rol,Gary W. Rollins,Chairman and Chief Executive Officer
rol,John F. Wilson,Vice Chairman and Assistant to the Chairman
rol,Jerry E. Gahlhoff Jr.,President and Chief Operating Officer
rol,Paul Edward Northen,"Senior Vice President, Chief Financial Officer and Treasurer"
rol,Elizabeth Brannen Chandler,"Vice President, General Counsel and Corporate Secretary"
rol,Thomas D. Tesh,Chief Information Officer
rol,Julie K. Bimmerman,Vice President of Finance and Investor Relations
rol,Kevin J. Smith,Chief Marketing Officer
rol,Freeman Elliott,President of Orkin U.S.
rol,Steven Leavitt,President of Rollins Emerging Markets Group
rop,Laurence Neil Hunn,"President, Chief Executive Officer and Director"
rop,Robert C. Crisci,Executive Vice President and Chief Financial Officer
rop,Jason P. Conley,Vice President and Chief Accounting Officer
rop,John K. Stipancich,"Executive Vice President, General Counsel and Corporate Secretary"
rop,Zack Moxcey,Vice President of Investor Relations
rop,Shannon Rory O'Callaghan,Vice President of Finance
rost,Michael Balmuth,Chairman and Senior Advisor
rost,Barbara Rentler,Chief Executive Officer and Director
rost,Michael J. Hartshorn,"Group President, Chief Operating Officer and Director"
rost,Travis R. Marquette,Executive Vice President and Chief Financial Officer
rost,Brian R. Morrow,President and Chief Merchandising Officer of dd's DISCOUNTS
rost,Michael K. Kobayashi,President of Operations and Technology
rost,Connie Kao,Group Vice President of Investor Relations
rost,Ken Jew,"Group Senior Vice President, General Counsel and Corporate Secretary"
rost,Ken Caruana,"Executive Vice President of Strategy, Marketing and Human Resources"
rost,James S. Fassio,Chief Development Officer
rcl,Richard D. Fain,Chief Executive Officer and Chairman
rcl,Jason T. Liberty,Executive Vice President and Chief Financial Officer
rcl,Harri U. Kulovaara,Executive Vice President of Maritime and Newbuilding
rcl,Lisa Lutoff-Perlo,President and Chief Executive Officer of Celebrity Cruises
rcl,Michael W. Bayley,President and Chief Executive Officer of Royal Caribbean International
rcl,Henry L. Pujol,"Senior Vice President, Chief Accounting Officer and Controller"
rcl,Martha Cecilia Poulter,Senior Vice President and Chief Information Officer
rcl,Carola Mengolini,Vice President of Investor Relations
rcl,Bradley H. Stein,"Senior Vice President, General Counsel, Chief Compliance Officer and Corporate Secretary"
rcl,Laura Miller,Chief Human Resources Officer and Senior Vice President
mmm,Michael F. Roman,"Chairman, President and Chief Executive Officer"
mmm,Monish D. Patolawala,Executive Vice President and Chief Financial Officer
mmm,Dr. Michael G. Vale Ph.D.,Group President of Safety and Industrial
mmm,Eric D. Hammes,Group President of Enterprise Operations
mmm,Mojdeh Poul,Group President of Health Care
mmm,Theresa E. Reinseth,"Senior Vice President, Corporate Controller and Chief Accounting Officer"
mmm,Dr. John P. Banovetz,"Executive Vice President, Chief Technology Officer and Environmental Responsibility"
mmm,Bruce Jermeland C.F.A.,Vice President of Investor Relations
mmm,Ivan K. Fong,"Executive Vice President, Chief Legal and Policy Officer, General Counsel and Secretary"
mmm,Michael A. Duran,Senior Vice President and Chief Ethics and Compliance Officer
spgi,Douglas L. Peterson M.B.A.,"President, Chief Executive Officer and Executive Director"
spgi,John L. Berisford,President of S&P Global Ratings Inc
spgi,Martina L. Cheung,"Head of S&P Global Sustainable1 and President of S&P Global Market Intelligence, Inc."
spgi,"Daniel Eugene Draper CFA, CMT, CAIA, FRM",Chief Executive Officer of S&P Dow Jones Indices LLC
spgi,Ewout Lucien Steenbergen,Executive Vice President and Chief Financial Officer
spgi,Christopher Craig,"Senior Vice President, Controller and Chief Accounting Officer"
spgi,Sitarama Swamy Kocherlakota,Executive Vice President and Chief Information Officer
spgi,Robert Merritt,Senior Vice President of Investor Relations
spgi,Steven Kemps,Executive Vice President and General Counsel
spgi,David R. Guarino,Chief Communications Officer
crm,Marc R. Benioff,"Co-Founder, Chairman and Chief Executive Officer"
crm,Bret Steven Taylor,President and Chief Operating Officer
crm,Srinivas Tallapragada,President and Chief Engineering Officer
crm,Parker Harris,"Co-Founder, Chief Technology Officer and Director"
crm,Mark J. Hawkins,Chief Financial Officer Emeritus
crm,Alexandre Dayon,President and Chief Strategy Officer
crm,Amy E. Weaver,"President, Chief Financial Officer and Secretary"
crm,Gavin E. Patterson,President and Chief Revenue Officer
crm,Brent Hyder,President and Chief People Officer
crm,David Schmaier,President and Chief Product Officer
sbac,Steven E. Bernstein II,Founder and Independent Chairman
sbac,Jeffrey A. Stoops,"President, Chief Executive Officer and Director"
sbac,Brendan Thomas Cavanagh CPA,Executive Vice President and Chief Financial Officer
sbac,Thomas P. Hunt Esq.,"Executive Vice President, Chief Administrative Officer and General Counsel"
sbac,Jason V. Silberstein,Executive Vice President of Site Leasing
sbac,Kurt L. Bagwell,Executive Vice President and President of International
sbac,Mark R. Ciarfella,Executive Vice President of Operations
sbac,"Brian D. Lazarus CPA, CPA",Senior Vice President and Chief Accounting Officer
sbac,Dr. Dipan D. Patel Ph.D.,"Executive Vice President of Strategy, Technology and New Business Initiatives"
sbac,Jorge Grau,Chief Information Officer and Senior Vice President
slb,Olivier Le Peuch,Chief Executive Officer and Director
slb,Stephane Biguet,Executive Vice President and Chief Financial Officer
slb,Khaled Al Mogharbel,Executive Vice President of Operations and Geographies
slb,Ashok Belani,Executive Vice President of Schlumberger New Energy
slb,Hinda Gharbi M.Sc.,Executive Vice President of Services and Equipment
slb,Howard Guild,Chief Accounting Officer
slb,Demosthenis Pafitis,Chief Technology Officer
slb,Sebastien Lehnherr,Chief Information Officer
slb,Ndubuisi D. Maduemezia,Vice President of Investor Relations
slb,Dianne B. Ralston,Chief Legal Officer
stx,Dr. William David Mosley,Chief Executive Officer and Director
stx,Gianluca Romano,Executive Vice President of Finance and Chief Financial Officer
stx,Jeffrey David Nygaard,"Executive Vice President and Head of Operations, Products and Technology"
stx,Katherine E. Schuelke,"Senior Vice President, Chief Legal Officer and Company Secretary"
stx,Ban Seng Teh,Senior Vice President of Global Sales and Sales Operations
stx,Dr. John Morris,Senior Vice President and Chief Technology Officer
stx,Ravi Naik,Chief Information Officer
stx,Shanye Hudson,Vice President of Investor Relations
stx,Matt Rutledge,Senior Vice President of Corporate Development and Strategy
stx,Jeffrey D. Fochtman,Senior Vice President of Business and Marketing
see,Edward L. Doheny II,"Chief Executive Officer, President and Director"
see,Angel Shelton Willis,"Vice President, General Counsel and Secretary"
see,Emile Z. Chammas,"Senior Vice President, Chief Manufacturing and Supply Chain Officer and Chief Transformation Officer"
see,Christopher J. Stephens Jr.,Senior Vice President and Chief Financial Officer
see,Michael A. Leon,Chief Accounting Officer and Controller
see,Lori C. Chaitman,Vice President of Investor Relations
see,Susan C. Edwards,Vice President and Chief Human Resources Officer
see,Lori K. Tylinski,Chief Trademark Counsel and Vice President of Law
see,Sergio A. Pupkin,Vice President and Chief Growth and Strategy Officer
see,Tobias Grasso Jr.,President of Americas
sre,Jeffrey Walker Martin,"Chairman, President and Chief Executive Officer"
sre,Trevor Ian Mihalik,Chief Financial Officer and Executive Vice President
sre,Peter Ronan Wall,"Senior Vice President, Controller and Chief Accounting Officer"
sre,Kevin Cristopher Sagara,Executive Vice President and Group President of California Utilities
sre,Eric G. Trapp,Vice President of Security and Technology and Chief Security Officer
sre,Manuela Molina Peralta,Vice President of Investor Relations
sre,Sandeep K. Mor,Vice President of Corporate Development
sre,Karen L. Sedgwick,Senior Vice President and Chief Human Resources Officer
sre,Paul H. Yong,Chief Tax Counsel and Vice President of Corporate Tax
sre,Justin Christopher Bird,Chief Development Officer
now,William R. McDermott,"President, Chief Executive Officer and Director"
now,Chirantan Jitendra Desai,Chief Product Officer
now,Gina M. Mastantuono,Chief Financial Officer
now,Fay Sien Goon,Principal Accounting Officer
now,Chris Bedi,Chief Information Officer
now,Lisa Banks,"Vice President of Finance, Investor Relations and Treasury"
now,Russell S. Elmer,General Counsel and Secretary
now,Alan L. Marks,Chief Marketing and Communications Officer
now,Lara Caimi,Chief Customer and Partner Officer
now,Kevin Haverty,Chief Revenue Officer
shw,John G. Morikis,"Chairman, President and Chief Executive Officer"
shw,David B. Sewell,President and Chief Operating Officer
shw,Allen J. Mistysyn,Senior Vice President of Finance and Chief Financial Officer
shw,Mary L. Garceau,"Senior Vice President, General Counsel and Secretary"
shw,Peter J. Ippolito,Senior Vice President of Strategic Initiatives
shw,James R. Jaye,Senior Vice President of Investor Relations and Corporate Communications
shw,Karl Schmitt,Senior Vice President of Marketing
shw,Thomas P. Gilligan,Senior Vice President of Human Resources
shw,Thomas C. Hablitzel,Senior Vice President of Enterprise Strategic Accounts
shw,Joel D. Baxter,President and GM of Global Supply Chain Division - Consumer Brands Group
spg,David E. Simon,"Chairman, Chief Executive Officer and Pres"
spg,Brian J. McDade,"Executive Vice President, Chief Financial Officer and Treasurer"
spg,John Rulli,Chief Administrative Officer
spg,Steven E. Fivel,General Counsel and Secretary
spg,Steven K. Broadwater,Senior Vice President of Financial Reporting and Operations
spg,Stanley Shashoua,Chief Investment Officer
spg,Adam J. Reuille,Senior Vice President and Chief Accounting Officer
spg,Joseph W. Chiappetta,Senior Vice President and Chief Technology Officer
spg,Thomas Ward,Senior Vice President of Investor Relations
spg,Ali Slocum,Vice President of PR
swks,Liam K. Griffin,"Chief Executive Officer, President and Director"
swks,Kris Sennesael,Senior Vice President and Chief Financial Officer
swks,Robert John Terry,"Senior Vice President, General Counsel and Secretary"
swks,Carlos S. Bori,Senior Vice President of Sales and Marketing
swks,Karilee A. Durham,Senior Vice President of Human Resources
swks,Dr. Reza Kasnavi,Senior Vice President of Technology and Manufacturing
swks,Mitchell J. Haws,Vice President of Investor Relations
swks,Pilar Barrigas,Head of Media Relations
swks,Joel R. King,Senior Vice President and GM of Mobile Solutions Business
swks,Yusuf Jamal,Senior Vice President and GM
sna,Nicholas T. Pinchuk,"Chairman, Chief Executive Officer and Pres"
sna,Aldo J. Pagliari,Senior Vice President of Finance and Chief Financial Officer
sna,Anup R. Banerjee,Senior Vice President of Human Resources and Chief Development Officer
sna,Timothy L. Chambers,Senior Vice President and President of Snap-on Tools Group
sna,Thomas J. Ward,Senior Vice President and President of Repair Systems and Information Group
sna,Iain Boyd,Vice President of Operations Development
sna,Richard K. Strege,"Principal Accounting Officer, Vice President and Controller"
sna,June C. Lemerand,Vice President and Chief Information Officer
sna,Sara M. Verbsky,Vice President of Investor Relations
sna,Richard T. Miller,"Vice President, General Counsel and Secretary"
so,Thomas A. Fanning,"Chairman, President and Chief Executive Officer"
so,Andrew William Evans,Executive Vice President and Chief Financial Officer
so,William Paul Bowers,Chairman and Chief Executive Officer of Georgia Power
so,Mark A. Crosswhite,"Chairman, President and Chief Executive Officer of Alabama Power"
so,Stephen E. Kuczynski,"Chairman, President and Chief Executive Officer of Southern Nuclear"
so,Stanley W. Connally Jr.,Executive Vice President of Operations
so,Ann P. Daiss,Chief Accounting Officer and Comptroller
so,Martin Bernard Davis,Chief Information Officer and Executive Vice President
so,Scott Gammill,Director of Investor Relations
so,James Y. Kerr II,"Executive Vice President, Chief Legal Officer and Chief Compliance Officer"
luv,Gary C. Kelly,Chairman and Chief Executive Officer
luv,Thomas M. Nealon,President
luv,Tammy Romo,Executive Vice President and Chief Financial Officer
luv,Michael G. Van de Ven,Chief Operating Officer
luv,Robert E. Jordan,Executive Vice President of Corporate Services
luv,Ray Schuster,Managing Director of Accounting and Financial Reporting
luv,Thomas Merritt,Vice President of Technology ? Infrastructure and Services and Chief Technology Officer
luv,Kathleen A. Merrill,Senior Vice President of Technology and Chief Information Officer
luv,Ryan Martinez,Managing Director of Investor Relations
luv,Mark R. Shaw,Executive Vice President and Chief Legal and Regulatory Officer
swk,James M. Loree,Chief Executive Officer and Director
swk,Donald Allan Jr.,President and Chief Financial Officer
swk,Jeffery D. Ansell,Executive Vice President
swk,Jaime A. Ramirez,Executive Vice President and President of the Tools and Storage
swk,Graham N. Robinson,Senior Vice President and President of Stanley Industrial
swk,Jocelyn S. Belisle,Vice President and Chief Accounting Officer
swk,Dr. Mark T. Maybury,Chief Technology Officer
swk,Rhonda O. Gass,Vice President and Chief Information Officer
swk,Dennis M. Lange,Vice President of Investor Relations
swk,Janet M. Link,"Senior Vice President, General Counsel and Secretary"
sbux,Kevin R. Johnson,"Chief Executive Officer, President and Director"
sbux,John W. Culver,"Group President of International, Channel Development and Global Coffee, Tea and Cocoa"
sbux,Patrick J. Grismer,Advisor
sbux,Howard D. Schultz,Founder and Chairman Emeritus
sbux,Rachel Ruggeri,Executive Vice President and Chief Financial Officer
sbux,Jill L. Walker,Senior Vice President of Corporate Financial Services and Chief Accounting Officer
sbux,Gerri K. Martin-Flickinger,Executive Vice President and Chief Technology Officer
sbux,Rachel A. Gonzalez Esq.,"Executive Vice President, General Counsel and Secretary"
sbux,Ashish Mishra,"Senior Vice President, Deputy General Counsel and Chief Ethics and Compliance Officer"
sbux,Vivek Varma,Executive Vice President of Public Affairs
stt,Ronald Philip O'Hanley,"Chairman, President and Chief Executive Officer"
stt,Eric Walter Aboaf,Executive Vice President and Chief Financial Officer
stt,Louis D. Maiuri,Executive Vice President and Chief Operating Officer
