company_code,trading_date,current_stock_price,previous_closing_stock_price,stock_price_change,percentage_stock_price_change,opening_stock_price,stocks_day_range,day_trading_volume,fifty_two_week_range,analysts_forecast
pm,April 27,$94.51,$94.39,0.12,0.13%,94.47,94.15 - 94.80,"2,075,007",63.01 - 95.60,"According to 20 analysts, the average rating for Philip Morris stock is ""Buy."" The 12-month stock price forecast is 102.92, which is an increase of 8.90% from the latest price."
psx,April 27,$78.10,$76.50,1.60,2.09%,76.69,76.40 - 78.35,"1,955,083",42.13 - 90.59,
pnw,April 27,$82.11,$83.33,-1.22,-1.46%,83.01,81.86 - 83.50,"625,333",67.48 - 90.89,"According to 16 analysts, the average rating for PNW stock is ""Buy."" The 12-month stock price forecast is 84.15, which is an increase of 2.48% from the latest price."
pxd,April 27,$151.07,$148.98,2.09,1.40%,148.90,148.16 - 151.62,"1,128,687",74.92 - 168.91,
pnc,April 27,$183.58,$180.24,3.34,1.85%,179.50,179.50 - 183.83,"1,831,513",90.04 - 183.83,"According to 22 analysts, the average rating for PNC stock is ""Buy."" The 12-month stock price forecast is 189.67, which is an increase of 3.32% from the latest price."
pool,April 27,$421.69,$413.25,8.44,2.04%,416.35,413.43 - 425.00,"290,724",205.33 - 426.70,"According to 9 analysts, the average rating for POOL stock is ""Buy."" The 12-month stock price forecast is 441.71, which is an increase of 4.75% from the latest price."
ppg,April 27,$172.23,$173.13,-0.90,-0.52%,172.00,171.00 - 172.95,"1,598,805",80.40 - 176.63,"According to 24 analysts, the average rating for PPG Industries stock is ""Buy."" The 12-month stock price forecast is 176.00, which is an increase of 2.19% from the latest price."
ppl,April 27,$28.89,$29.18,-0.29,-0.99%,29.12,28.86 - 29.18,"4,656,167",22.38 - 29.99,"According to 14 analysts, the average rating for PPL stock is ""Buy."" The 12-month stock price forecast is 31.15, which is an increase of 7.82% from the latest price."
pfg,April 27,$62.90,$62.34,0.56,0.90%,62.58,62.30 - 62.91,"1,699,509",29.31 - 64.15,"According to 11 analysts, the average rating for PFG stock is ""Buy."" The 12-month stock price forecast is 65.80, which is an increase of 4.61% from the latest price."
pg,April 27,$131.18,$131.26,-0.08,-0.06%,131.00,130.30 - 131.89,"7,014,928",108.59 - 145.11,"According to 23 analysts, the average rating for PG stock is ""Buy."" The 12-month stock price forecast is 147.84, which is an increase of 12.70% from the latest price."
pgr,April 27,$99.91,$99.86,0.05,0.05%,99.72,99.43 - 100.07,"1,185,651",67.86 - 101.49,"According to 19 analysts, the average rating for Progressive stock is ""Buy."" The 12-month stock price forecast is 103.00, which is an increase of 3.09% from the latest price."
pld,April 27,$114.85,$115.22,-0.37,-0.32%,115.32,114.77 - 115.49,"2,366,582",78.23 - 115.99,"According to 18 analysts, the average rating for Prologis stock is ""Buy."" The 12-month stock price forecast is 121.53, which is an increase of 5.82% from the latest price."
pru,April 27,$99.30,$98.53,0.77,0.78%,98.53,98.53 - 99.38,"1,390,527",45.48 - 100.21,
ptc,April 27,$147.79,$148.84,-1.05,-0.71%,148.41,146.06 - 149.50,"634,210",60.98 - 149.50,
peg,April 27,$62.10,$62.16,-0.06,-0.10%,62.15,61.77 - 62.59,"2,369,382",42.71 - 64.15,"According to 18 analysts, the average rating for PEG stock is ""Buy."" The 12-month stock price forecast is 65.60, which is an increase of 5.64% from the latest price."
psa,April 27,$275.06,$275.12,-0.06,-0.02%,275.50,273.74 - 275.94,"481,107",165.90 - 278.78,"According to 14 analysts, the average rating for Public Storage stock is ""Hold."" The 12-month stock price forecast is 263.90, which is a decrease of -4.06% from the latest price."
phm,April 27,$57.14,$54.79,2.35,4.29%,56.37,56.36 - 58.08,"4,333,669",25.78 - 58.08,"According to 16 analysts, the average rating for PulteGroup stock is ""Buy."" The 12-month stock price forecast is 58.91, which is an increase of 3.10% from the latest price."
pvh,April 27,$111.44,$108.49,2.95,2.72%,108.49,107.86 - 111.81,"544,042",36.34 - 114.18,
qrvo,April 27,$198.38,$198.97,-0.59,-0.30%,200.00,197.06 - 201.50,"617,296",91.75 - 201.50,"According to 24 analysts, the average rating for Qorvo stock is ""Buy."" The 12-month stock price forecast is 194.83, which is a decrease of -1.79% from the latest price."
pwr,April 27,$98.18,$97.72,0.46,0.47%,97.76,97.02 - 98.38,"726,491",28.60 - 98.95,"According to 12 analysts, the average rating for PWR stock is ""Buy."" The 12-month stock price forecast is 97.57, which is a decrease of -0.62% from the latest price."
qcom,April 27,$138.01,$138.96,-0.95,-0.68%,138.52,136.98 - 139.38,"8,161,250",72.47 - 167.14,"According to 29 analysts, the average rating for Qualcomm stock is ""Buy."" The 12-month stock price forecast is 169.66, which is an increase of 22.93% from the latest price."
dgx,April 27,$132.30,$132.27,0.03,0.02%,131.93,131.91 - 133.05,"1,256,997",101.78 - 134.07,"According to 18 analysts, the average rating for DGX stock is ""Buy."" The 12-month stock price forecast is 142.07, which is an increase of 7.38% from the latest price."
rl,April 27,$128.85,$125.83,3.02,2.40%,126.38,125.58 - 129.14,"820,582",62.37 - 129.74,"According to 21 analysts, the average rating for Ralph Lauren stock is ""Buy."" The 12-month stock price forecast is 125.34, which is a decrease of -2.72% from the latest price."
rjf,April 27,$130.63,$129.92,0.71,0.55%,129.91,129.22 - 130.63,"333,697",55.56 - 131.45,"According to 12 analysts, the average rating for RJF stock is ""Buy."" The 12-month stock price forecast is 142.89, which is an increase of 9.39% from the latest price."
rtx,April 27,$82.81,$81.00,1.81,2.23%,82.59,80.88 - 83.69,"10,256,914",50.08 - 83.69,
o,April 27,$68.86,$69.32,-0.46,-0.66%,69.35,68.79 - 69.40,"1,747,785",45.70 - 70.05,"According to 20 analysts, the average rating for Realty Income stock is ""Buy."" The 12-month stock price forecast is 70.94, which is an increase of 3.02% from the latest price."
reg,April 27,$62.97,$62.37,0.60,0.96%,62.40,62.10 - 63.30,"663,452",31.83 - 63.30,"According to 16 analysts, the average rating for REG stock is ""Buy."" The 12-month stock price forecast is 59.47, which is a decrease of -5.56% from the latest price."
regn,April 27,$491.81,$501.17,-9.36,-1.87%,502.60,491.26 - 502.60,"425,403",441.00 - 664.64,"According to 27 analysts, the average rating for REGN stock is ""Buy."" The 12-month stock price forecast is 637.81, which is an increase of 29.69% from the latest price."
rf,April 27,$21.23,$21.11,0.12,0.57%,21.21,20.96 - 21.31,"6,626,017",8.06 - 22.44,"According to 26 analysts, the average rating for RF stock is ""Buy."" The 12-month stock price forecast is 22.83, which is an increase of 7.54% from the latest price."
rsg,April 27,$104.90,$104.63,0.27,0.26%,104.65,104.00 - 105.29,"946,222",74.81 - 106.65,"According to 16 analysts, the average rating for RSG stock is ""Buy."" The 12-month stock price forecast is 109.31, which is an increase of 4.20% from the latest price."
rmd,April 27,$210.67,$210.89,-0.22,-0.10%,210.75,209.76 - 212.24,"530,038",148.29 - 223.99,"According to 10 analysts, the average rating for ResMed stock is ""Hold."" The 12-month stock price forecast is 217.00, which is an increase of 3.00% from the latest price."
rhi,April 27,$88.94,$87.70,1.24,1.41%,87.87,87.71 - 88.98,"652,416",40.87 - 88.98,"According to 13 analysts, the average rating for RHI stock is ""Hold."" The 12-month stock price forecast is 83.67, which is a decrease of -5.93% from the latest price."
rok,April 27,$268.62,$267.42,1.20,0.45%,268.80,266.52 - 270.46,"702,158",174.51 - 275.43,"According to 25 analysts, the average rating for ROK stock is ""Hold."" The 12-month stock price forecast is 262.89, which is a decrease of -2.13% from the latest price."
rol,April 27,$35.92,$35.91,0.01,0.03%,36.05,35.50 - 36.29,"1,784,592",25.37 - 42.91,"According to 3 analysts, the average rating for Rollins stock is ""Buy."" The 12-month stock price forecast is 36.00, which is an increase of 0.22% from the latest price."
rop,April 27,$445.86,$432.37,13.49,3.12%,432.15,430.07 - 447.94,"792,160",330.10 - 453.89,"According to 13 analysts, the average rating for ROP stock is ""Buy."" The 12-month stock price forecast is 460.20, which is an increase of 3.22% from the latest price."
rost,April 27,$129.17,$127.19,1.98,1.56%,127.17,126.83 - 129.72,"1,523,844",79.46 - 130.08,"According to 26 analysts, the average rating for Ross Stores stock is ""Buy."" The 12-month stock price forecast is 129.80, which is an increase of 0.49% from the latest price."
rcl,April 27,$87.63,$86.94,0.69,0.79%,87.01,85.82 - 88.22,"1,939,605",31.41 - 99.24,
spgi,April 27,$384.14,$383.93,0.21,0.05%,385.67,381.22 - 386.44,"904,676",279.34 - 389.43,"According to 11 analysts, the average rating for S&P Global stock is ""Buy."" The 12-month stock price forecast is 412.56, which is an increase of 7.40% from the latest price."
crm,April 27,$234.21,$235.46,-1.25,-0.53%,235.46,231.90 - 235.90,"3,031,174",155.08 - 284.50,"According to 43 analysts, the average rating for Salesforce.com stock is ""Buy."" The 12-month stock price forecast is 276.18, which is an increase of 17.92% from the latest price."
sbac,April 27,$294.78,$296.78,-2.00,-0.67%,297.67,293.63 - 300.28,"1,037,310",232.32 - 327.07,"According to 17 analysts, the average rating for SBAC stock is ""Buy."" The 12-month stock price forecast is 324.33, which is an increase of 10.02% from the latest price."
slb,April 27,$26.18,$26.37,-0.19,-0.72%,26.40,25.65 - 26.61,"11,967,914",13.62 - 30.41,"According to 29 analysts, the average rating for Schlumberger stock is ""Buy."" The 12-month stock price forecast is 30.25, which is an increase of 15.55% from the latest price."
stx,April 27,$94.23,$93.27,0.96,1.03%,92.73,92.71 - 94.60,"3,421,740",42.13 - 94.60,"According to 30 analysts, the average rating for STX stock is ""Hold."" The 12-month stock price forecast is 87.52, which is a decrease of -7.12% from the latest price."
see,April 27,$48.30,$48.28,0.02,0.04%,48.00,47.81 - 48.54,"610,448",26.45 - 49.24,"According to 15 analysts, the average rating for Sealed Air stock is ""Buy."" The 12-month stock price forecast is 51.67, which is an increase of 6.98% from the latest price."
sre,April 27,$134.93,$136.49,-1.56,-1.14%,136.65,134.47 - 136.65,"1,206,735",109.30 - 140.30,"According to 18 analysts, the average rating for Sempra Energy stock is ""Buy."" The 12-month stock price forecast is 148.61, which is an increase of 10.14% from the latest price."
now,April 27,$562.63,$559.21,3.42,0.61%,557.95,553.59 - 565.40,"860,409",301.57 - 598.37,"According to 34 analysts, the average rating for ServiceNow stock is ""Strong Buy."" The 12-month stock price forecast is 614.30, which is an increase of 9.18% from the latest price."
shw,April 27,$269.49,$269.54,-0.05,-0.02%,265.48,262.88 - 270.37,"1,538,843",170.83 - 275.00,"According to 28 analysts, the average rating for SHW stock is ""Buy."" The 12-month stock price forecast is 266.53, which is a decrease of -1.10% from the latest price."
spg,April 27,$122.36,$120.17,2.19,1.82%,120.96,119.46 - 123.30,"3,045,729",44.26 - 123.30,"According to 19 analysts, the average rating for SPG stock is ""Buy."" The 12-month stock price forecast is 119.00, which is a decrease of -2.75% from the latest price."
swks,April 27,$197.40,$199.66,-2.26,-1.13%,201.35,196.45 - 201.49,"1,632,885",95.42 - 201.99,"According to 28 analysts, the average rating for SWKS stock is ""Buy."" The 12-month stock price forecast is 203.96, which is an increase of 3.32% from the latest price."
sna,April 27,$239.70,$235.99,3.71,1.57%,235.73,234.06 - 239.97,"429,853",112.31 - 242.18,"According to 10 analysts, the average rating for Snap-on stock is ""Hold."" The 12-month stock price forecast is 227.13, which is a decrease of -5.24% from the latest price."
so,April 27,$64.33,$64.66,-0.33,-0.51%,64.58,64.18 - 64.65,"2,967,907",48.80 - 66.40,"According to 19 analysts, the average rating for SO stock is ""Hold."" The 12-month stock price forecast is 66.45, which is an increase of 3.30% from the latest price."
luv,April 27,$62.40,$61.97,0.43,0.69%,61.97,61.36 - 62.52,"3,649,269",22.47 - 64.75,
swk,April 27,$207.93,$206.48,1.45,0.70%,206.62,205.09 - 208.14,"919,110",95.97 - 211.42,"According to 19 analysts, the average rating for SWK stock is ""Buy."" The 12-month stock price forecast is 221.23, which is an increase of 6.40% from the latest price."
sbux,April 27,$116.15,$115.92,0.23,0.20%,115.67,115.27 - 116.39,"5,681,024",69.64 - 118.98,"According to 33 analysts, the average rating for Starbucks stock is ""Buy."" The 12-month stock price forecast is 115.05, which is a decrease of -0.95% from the latest price."
stt,April 27,$82.24,$81.30,0.94,1.16%,81.08,80.95 - 82.31,"1,435,836",49.67 - 87.76,"According to 19 analysts, the average rating for State Street stock is ""Buy."" The 12-month stock price forecast is 91.44, which is an increase of 11.19% from the latest price."
ste,April 27,$212.43,$216.47,-4.04,-1.87%,213.31,212.13 - 214.38,"1,398,240",137.39 - 216.74,"According to 7 analysts, the average rating for Steris stock is ""Buy."" The 12-month stock price forecast is 222.75, which is an increase of 4.86% from the latest price."
syk,April 27,$265.03,$265.28,-0.25,-0.09%,264.72,262.54 - 266.38,"844,706",169.82 - 268.04,"According to 30 analysts, the average rating for Stryker stock is ""Buy."" The 12-month stock price forecast is 254.65, which is a decrease of -3.92% from the latest price."
sivb,April 27,$575.90,$572.93,2.97,0.52%,572.42,565.20 - 576.59,"426,590",152.76 - 585.25,"According to 21 analysts, the average rating for SIVB stock is ""Buy."" The 12-month stock price forecast is 585.93, which is an increase of 1.74% from the latest price."
syf,April 27,$40.73,$41.47,-0.74,-1.78%,39.60,39.60 - 40.89,"9,905,398",14.81 - 43.61,"According to 20 analysts, the average rating for SYF stock is ""Buy."" The 12-month stock price forecast is 48.56, which is an increase of 19.22% from the latest price."
snps,April 27,$251.70,$256.88,-5.18,-2.02%,254.73,249.03 - 256.86,"1,049,190",147.98 - 300.91,"According to 15 analysts, the average rating for Synopsys stock is ""Buy."" The 12-month stock price forecast is 311.77, which is an increase of 23.87% from the latest price."
syy,April 27,$83.29,$82.28,1.01,1.23%,83.03,82.64 - 84.18,"1,862,315",42.99 - 84.18,"According to 14 analysts, the average rating for Sysco stock is ""Buy."" The 12-month stock price forecast is 83.50, which is an increase of 0.25% from the latest price."
tmus,April 27,$132.92,$132.50,0.42,0.32%,133.11,131.48 - 133.24,"3,008,587",84.70 - 135.54,"According to 29 analysts, the average rating for T-Mobile US stock is ""Buy."" The 12-month stock price forecast is 160.98, which is an increase of 21.11% from the latest price."
trow,April 27,$178.88,$178.82,0.06,0.03%,178.20,176.23 - 179.04,"828,056",102.75 - 183.05,"According to 17 analysts, the average rating for TROW stock is ""Hold."" The 12-month stock price forecast is 185.00, which is an increase of 3.42% from the latest price."
ttwo,April 27,$174.28,$176.43,-2.15,-1.22%,176.81,173.38 - 177.36,"929,707",118.01 - 214.91,"According to 24 analysts, the average rating for TTWO stock is ""Buy."" The 12-month stock price forecast is 219.88, which is an increase of 26.16% from the latest price."
tpr,April 27,$47.37,$45.98,1.39,3.02%,46.30,46.23 - 47.68,"2,378,371",11.51 - 47.68,
tgt,April 27,$204.36,$203.63,0.73,0.36%,203.89,203.31 - 205.33,"2,260,127",104.59 - 210.86,"According to 29 analysts, the average rating for Target stock is ""Buy."" The 12-month stock price forecast is 210.04, which is an increase of 2.78% from the latest price."
tel,April 27,$135.15,$135.17,-0.02,-0.01%,135.99,133.22 - 136.18,"1,313,055",65.34 - 136.23,
tdy,April 27,$442.91,$440.42,2.49,0.57%,441.44,436.85 - 445.08,"231,456",289.19 - 446.12,"According to 5 analysts, the average rating for TDY stock is ""Strong Buy."" The 12-month stock price forecast is 460.60, which is an increase of 3.99% from the latest price."
tfx,April 27,$438.81,$440.01,-1.20,-0.27%,438.60,434.59 - 441.53,"136,862",311.77 - 447.79,"According to 12 analysts, the average rating for Teleflex stock is ""Buy."" The 12-month stock price forecast is 459.64, which is an increase of 4.75% from the latest price."
ter,April 27,$131.10,$133.43,-2.33,-1.75%,134.26,131.07 - 135.55,"1,613,008",56.26 - 147.79,"According to 17 analysts, the average rating for Teradyne stock is ""Buy."" The 12-month stock price forecast is 132.80, which is an increase of 1.30% from the latest price."
tsla,April 27,$704.74,$738.20,-33.46,-4.53%,717.17,703.35 - 724.00,"28,658,625",136.61 - 900.40,
txn,April 27,$190.21,$191.36,-1.15,-0.60%,191.26,189.78 - 192.51,"3,144,737",103.36 - 197.58,"According to 31 analysts, the average rating for TXN stock is ""Hold."" The 12-month stock price forecast is 189.79, which is a decrease of -0.22% from the latest price."
txt,April 27,$61.18,$60.90,0.28,0.46%,60.96,60.79 - 61.72,"889,900",21.88 - 61.72,"According to 12 analysts, the average rating for Textron stock is ""Hold."" The 12-month stock price forecast is 63.92, which is an increase of 4.48% from the latest price."
tmo,April 27,$490.22,$494.04,-3.82,-0.77%,495.60,490.11 - 496.53,"978,302",323.63 - 532.02,"According to 22 analysts, the average rating for TMO stock is ""Buy."" The 12-month stock price forecast is 562.53, which is an increase of 14.75% from the latest price."
tjx,April 27,$69.80,$69.28,0.52,0.75%,69.48,69.13 - 70.20,"3,551,360",42.36 - 71.06,"According to 28 analysts, the average rating for TJX Companies stock is ""Buy."" The 12-month stock price forecast is 76.96, which is an increase of 10.26% from the latest price."
tsco,April 27,$190.50,$190.95,-0.45,-0.24%,191.68,188.82 - 192.84,"971,789",97.87 - 192.84,"According to 31 analysts, the average rating for Tractor Supply stock is ""Buy."" The 12-month stock price forecast is 193.08, which is an increase of 1.35% from the latest price."
tt,April 27,$173.80,$172.83,0.97,0.56%,173.09,171.54 - 174.54,"992,932",72.46 - 177.20,"According to 23 analysts, the average rating for TT stock is ""Hold."" The 12-month stock price forecast is 168.31, which is a decrease of -3.16% from the latest price."
tdg,April 27,$602.46,$603.95,-1.49,-0.25%,604.92,601.81 - 612.04,"163,253",303.51 - 633.04,"According to 16 analysts, the average rating for TDG stock is ""Buy."" The 12-month stock price forecast is 676.53, which is an increase of 12.29% from the latest price."
trv,April 27,$155.20,$155.73,-0.53,-0.34%,155.71,154.56 - 156.44,"1,339,432",82.92 - 161.19,"According to 21 analysts, the average rating for Travelers stock is ""Hold."" The 12-month stock price forecast is 161.53, which is an increase of 4.08% from the latest price."
trmb,April 27,$84.06,$84.12,-0.06,-0.07%,84.60,83.33 - 84.71,"566,109",31.65 - 84.87,"According to 15 analysts, the average rating for Trimble stock is ""Buy."" The 12-month stock price forecast is 80.10, which is a decrease of -4.71% from the latest price."
tfc,April 27,$58.30,$57.72,0.58,1.00%,57.83,57.63 - 58.42,"4,840,581",29.02 - 61.26,"According to 24 analysts, the average rating for TFC stock is ""Buy."" The 12-month stock price forecast is 64.71, which is an increase of 10.99% from the latest price."
twtr,April 27,$66.01,$66.72,-0.71,-1.06%,67.39,66.01 - 68.36,"9,359,283",27.12 - 80.75,
tyl,April 27,$447.14,$454.88,-7.74,-1.70%,456.47,445.73 - 456.80,"259,988",305.30 - 479.79,"According to 14 analysts, the average rating for TYL stock is ""Buy."" The 12-month stock price forecast is 477.62, which is an increase of 6.82% from the latest price."
tsn,April 27,$76.69,$77.95,-1.26,-1.62%,77.79,76.37 - 77.87,"2,475,094",52.85 - 79.77,"According to 15 analysts, the average rating for Tyson Foods stock is ""Buy."" The 12-month stock price forecast is 79.91, which is an increase of 4.20% from the latest price."
udr,April 27,$46.80,$46.81,-0.01,-0.02%,46.90,46.38 - 47.28,"2,813,687",28.82 - 47.28,"According to 19 analysts, the average rating for UDR, Inc. stock is ""Buy."" The 12-month stock price forecast is 45.83, which is a decrease of -2.07% from the latest price."
ulta,April 27,$329.15,$328.29,0.86,0.26%,329.96,327.99 - 331.61,"434,649",186.01 - 351.00,"According to 30 analysts, the average rating for Ulta Beauty stock is ""Buy."" The 12-month stock price forecast is 341.91, which is an increase of 3.88% from the latest price."
usb,April 27,$58.32,$57.79,0.53,0.92%,58.14,57.83 - 58.39,"5,627,514",27.24 - 58.45,"According to 26 analysts, the average rating for U.S. Bancorp stock is ""Buy."" The 12-month stock price forecast is 62.18, which is an increase of 6.62% from the latest price."
uaa,April 27,$24.19,$23.52,0.67,2.85%,23.60,23.57 - 24.26,"4,854,669",7.15 - 24.39,
ua,April 27,$19.91,$19.52,0.39,2.00%,19.58,19.58 - 20.02,"4,417,746",6.37 - 20.31,
unp,April 27,$225.73,$224.59,1.14,0.51%,225.70,223.95 - 226.80,"1,855,721",144.83 - 226.96,"According to 29 analysts, the average rating for Union Pacific stock is ""Buy."" The 12-month stock price forecast is 240.84, which is an increase of 6.69% from the latest price."
ual,April 27,$53.48,$53.78,-0.30,-0.56%,53.77,53.19 - 54.12,"10,003,468",18.18 - 63.70,
unh,April 27,$394.50,$395.86,-1.36,-0.34%,394.66,392.30 - 396.33,"1,460,713",269.49 - 401.99,"According to 25 analysts, the average rating for UnitedHealth stock is ""Buy."" The 12-month stock price forecast is 430.91, which is an increase of 9.23% from the latest price."
ups,April 27,$194.13,$175.81,18.32,10.42%,190.00,189.71 - 197.28,"14,105,469",86.30 - 197.28,"According to 26 analysts, the average rating for UPS stock is ""Buy."" The 12-month stock price forecast is 177.87, which is a decrease of -8.38% from the latest price."
uri,April 27,$324.82,$324.97,-0.15,-0.05%,322.72,318.01 - 325.09,"606,560",105.26 - 341.00,"According to 18 analysts, the average rating for United Rentals stock is ""Buy."" The 12-month stock price forecast is 324.07, which is a decrease of -0.23% from the latest price."
uhs,April 27,$145.91,$145.78,0.13,0.09%,143.39,143.11 - 147.75,"958,182",86.51 - 150.59,"According to 15 analysts, the average rating for UHS stock is ""Buy."" The 12-month stock price forecast is 150.25, which is an increase of 2.97% from the latest price."
unm,April 27,$28.78,$28.55,0.23,0.81%,28.58,28.45 - 28.82,"1,513,004",12.24 - 30.34,"According to 11 analysts, the average rating for Unum Group stock is ""Hold."" The 12-month stock price forecast is 27.70, which is a decrease of -3.75% from the latest price."
vlo,April 27,$71.82,$70.52,1.30,1.84%,70.79,70.52 - 72.06,"2,457,882",34.29 - 84.39,
vtr,April 27,$55.65,$55.61,0.04,0.07%,55.67,55.37 - 56.07,"1,609,596",24.37 - 57.62,"According to 22 analysts, the average rating for Ventas stock is ""Hold."" The 12-month stock price forecast is 53.03, which is a decrease of -4.71% from the latest price."
vrsn,April 27,$220.05,$216.66,3.39,1.56%,216.00,214.43 - 220.51,"625,719",184.60 - 221.30,"According to 5 analysts, the average rating for VeriSign stock is ""Hold."" The 12-month stock price forecast is 250.33, which is an increase of 13.76% from the latest price."
vrsk,April 27,$187.20,$186.47,0.73,0.39%,187.25,186.00 - 187.76,"605,822",148.92 - 210.31,"According to 15 analysts, the average rating for VRSK stock is ""Buy."" The 12-month stock price forecast is 195.92, which is an increase of 4.66% from the latest price."
vz,April 27,$56.32,$56.94,-0.62,-1.09%,56.52,56.20 - 56.72,"20,042,138",49.55 - 59.36,"According to 27 analysts, the average rating for Verizon stock is ""Buy."" The 12-month stock price forecast is 60.32, which is an increase of 7.10% from the latest price."
vrtx,April 27,$215.53,$216.97,-1.44,-0.66%,217.21,215.00 - 218.15,"1,041,305",202.57 - 306.08,"According to 28 analysts, the average rating for VRTX stock is ""Buy."" The 12-month stock price forecast is 284.88, which is an increase of 32.18% from the latest price."
vfc,April 27,$89.14,$87.80,1.34,1.53%,88.05,87.87 - 89.40,"2,090,770",49.44 - 89.50,"According to 24 analysts, the average rating for VF Corporation stock is ""Buy."" The 12-month stock price forecast is 93.85, which is an increase of 5.28% from the latest price."
viac,April 27,$42.81,$41.82,0.99,2.37%,41.93,41.82 - 43.34,"30,436,333",14.38 - 101.97,"According to 28 analysts, the average rating for ViacomCBS stock is ""Hold."" The 12-month stock price forecast is 53.72, which is an increase of 25.48% from the latest price."
vtrs,April 27,$13.28,$13.55,-0.27,-1.99%,13.52,13.19 - 13.59,"16,885,544",12.94 - 18.86,
v,April 27,$229.91,$230.34,-0.43,-0.19%,231.16,228.99 - 231.16,"5,357,414",170.65 - 232.95,"According to 38 analysts, the average rating for Visa, Inc stock is ""Buy."" The 12-month stock price forecast is 250.84, which is an increase of 9.10% from the latest price."
vno,April 27,$45.89,$45.52,0.37,0.81%,45.69,45.18 - 46.30,"983,089",28.91 - 49.50,
vmc,April 27,$180.86,$179.48,1.38,0.77%,180.00,179.47 - 181.95,"569,844",87.66 - 181.95,"According to 20 analysts, the average rating for VMC stock is ""Buy."" The 12-month stock price forecast is 170.26, which is a decrease of -5.86% from the latest price."
wrb,April 27,$80.57,$80.44,0.13,0.16%,80.35,79.74 - 80.81,"584,749",44.92 - 82.24,"According to 10 analysts, the average rating for W.R. Berkley stock is ""Hold."" The 12-month stock price forecast is 81.10, which is an increase of 0.66% from the latest price."
wab,April 27,$85.00,$84.47,0.53,0.63%,84.54,84.13 - 85.24,"766,178",48.51 - 85.75,"According to 12 analysts, the average rating for Wabtec stock is ""Buy."" The 12-month stock price forecast is 85.33, which is an increase of 0.39% from the latest price."
wmt,April 27,$138.38,$137.91,0.47,0.34%,138.00,137.55 - 138.95,"4,709,529",115.62 - 152.46,"According to 36 analysts, the average rating for Walmart stock is ""Buy."" The 12-month stock price forecast is 159.38, which is an increase of 15.18% from the latest price."
wba,April 27,$52.51,$52.73,-0.22,-0.42%,52.79,52.45 - 53.14,"3,577,311",32.66 - 57.05,"According to 22 analysts, the average rating for WBA stock is ""Hold."" The 12-month stock price forecast is 54.22, which is an increase of 3.26% from the latest price."
dis,April 27,$184.64,$184.27,0.37,0.20%,184.96,184.15 - 185.81,"4,255,435",98.86 - 203.02,
wm,April 27,$135.06,$133.93,1.13,0.84%,134.46,133.82 - 136.00,"1,744,409",92.35 - 136.35,"According to 18 analysts, the average rating for WM stock is ""Buy."" The 12-month stock price forecast is 135.00, which is a decrease of -0.04% from the latest price."
wat,April 27,$304.27,$304.35,-0.08,-0.03%,304.35,302.40 - 304.94,"344,239",171.38 - 309.65,"According to 18 analysts, the average rating for WAT stock is ""Hold."" The 12-month stock price forecast is 275.00, which is a decrease of -9.62% from the latest price."
wec,April 27,$94.98,$95.80,-0.82,-0.86%,95.72,94.96 - 96.01,"799,733",79.81 - 105.37,"According to 15 analysts, the average rating for WEC stock is ""Hold."" The 12-month stock price forecast is 95.08, which is an increase of 0.11% from the latest price."
wfc,April 27,$45.09,$44.14,0.95,2.15%,44.33,44.20 - 45.22,"25,248,625",20.60 - 45.22,"According to 27 analysts, the average rating for Wells Fargo stock is ""Buy."" The 12-month stock price forecast is 47.60, which is an increase of 5.57% from the latest price."
well,April 27,$76.47,$75.89,0.58,0.76%,75.99,75.66 - 76.70,"1,715,020",34.46 - 76.87,"According to 21 analysts, the average rating for Welltower stock is ""Hold."" The 12-month stock price forecast is 71.67, which is a decrease of -6.28% from the latest price."
wst,April 27,$320.35,$322.41,-2.06,-0.64%,321.42,318.63 - 323.53,"403,632",184.77 - 326.51,"According to 7 analysts, the average rating for WST stock is ""Buy."" The 12-month stock price forecast is 328.00, which is an increase of 2.39% from the latest price."
wdc,April 27,$72.45,$71.41,1.04,1.46%,72.02,70.90 - 72.63,"3,314,764",33.53 - 74.66,"According to 32 analysts, the average rating for WDC stock is ""Buy."" The 12-month stock price forecast is 79.73, which is an increase of 10.05% from the latest price."
wu,April 27,$26.20,$26.35,-0.15,-0.57%,26.31,26.15 - 26.39,"2,736,439",16.88 - 26.61,"According to 20 analysts, the average rating for Western Union stock is ""Hold."" The 12-month stock price forecast is 25.64, which is a decrease of -2.14% from the latest price."
wrk,April 27,$54.52,$53.59,0.93,1.74%,53.28,53.21 - 54.78,"2,089,235",22.66 - 54.99,
wy,April 27,$39.38,$38.84,0.54,1.39%,39.44,39.04 - 39.88,"5,217,632",15.87 - 39.88,
whr,April 27,$239.36,$236.12,3.24,1.37%,237.42,236.00 - 240.32,"489,479",98.57 - 246.24,"According to 12 analysts, the average rating for Whirlpool stock is ""Hold."" The 12-month stock price forecast is 249.40, which is an increase of 4.19% from the latest price."
wmb,April 27,$23.94,$23.97,-0.03,-0.13%,23.97,23.90 - 24.13,"8,468,402",16.41 - 24.58,"According to 24 analysts, the average rating for WMB stock is ""Buy."" The 12-month stock price forecast is 26.57, which is an increase of 10.99% from the latest price."
